node,year_construction,capacity_existing
AT,2022,915.6125948497172
BE,2022,468.97823491213103
BG,2022,90.2282629464386
CH,2022,0.0
CZ,2022,256.7636880188987
DE,2022,3617.2707520588
DK,2022,60.51384078200137
EE,2022,53.27416040631955
EL,2022,70.11584748201076
ES,2022,1163.314943603826
FI,2022,2765.702994025291
FR,2022,1258.8903096933018
HR,2022,73.46925191935571
HU,2022,169.03047597164272
IE,2022,15.581660198870956
IT,2022,1616.3744263721028
LT,2022,24.07308989141114
LU,2022,7.925822517527561
LV,2022,8.687956974052025
NL,2022,460.9981147654841
NO,2022,0.0
PL,2022,977.8735409016392
PT,2022,705.3612574220052
RO,2022,144.6760042110534
SE,2022,2816.5271477629176
SI,2022,114.70373738566168
SK,2022,270.2952096383836
UK,2022,0.0
